model,input_set,history_length,epochs,learning_rate,weight_decay,l1_weight,best_val_loss,rmse,mae,bias,correlation
convlstm,t2m,6,30,0.0008,1e-06,0.1,6.539715528488159,2.2696311235427857,1.9346225261688232,0.5844928674399853,0.7695568766889476
convlstm,core4,6,30,0.0008,1e-06,0.1,8.98063850402832,2.924078440666199,2.569302201271057,0.7435327291488647,0.7576825455578848
convlstm,extended,6,30,0.0008,1e-06,0.1,4.4939985275268555,1.9744062900543213,1.5800907373428346,0.42586628198623655,0.8299353730234784
