epoch,train_loss,val_loss,lr,train_grad_norm_mean,train_grad_norm_max,is_best
1,117.54914602,118.89125061,0.00050000,49.88981088,129.23023987,1
2,81.37221845,53.44368649,0.00050000,165.53393682,302.19506836,1
3,21.96417205,26.26654053,0.00050000,166.60936483,216.14134216,1
4,38.54054515,21.16538334,0.00050000,611.68694305,958.60003662,1
5,17.23376211,29.40681362,0.00050000,162.11482239,300.09460449,0
6,14.06257820,20.31594276,0.00050000,131.77236684,212.32785034,1
7,15.97018830,17.74353313,0.00050000,267.80267334,551.95074463,1
8,9.30023535,23.08976698,0.00050000,81.01782990,139.43965149,0
9,10.71809578,17.19597292,0.00050000,134.91673787,190.75154114,1
10,9.18163212,18.76773930,0.00050000,89.13658587,204.24600220,0
11,7.66533597,15.79705858,0.00050000,83.31798108,136.53872681,1
12,6.96836547,16.42901564,0.00050000,83.03397179,168.54972839,0
13,6.20100872,12.98157120,0.00050000,67.04437383,101.97142792,1
14,6.23420477,18.38090277,0.00050000,92.11488501,148.01251221,0
15,5.16284660,13.21058226,0.00050000,59.07462184,112.00090027,0
16,4.69190339,16.73960185,0.00050000,57.27992757,70.89252472,0
17,4.76860195,11.94568777,0.00050000,68.18304539,161.36854553,1
18,4.27585840,15.21843696,0.00050000,79.94914468,130.03672791,0
19,3.64304662,11.15900612,0.00050000,54.78896109,129.98112488,1
20,3.86195632,16.81609511,0.00050000,79.11342049,107.28402710,0
21,3.74719034,12.26743412,0.00050000,90.48910904,183.73428345,0
22,3.44104330,12.69821072,0.00050000,66.88804976,125.30200958,0
23,4.44902877,11.66992521,0.00050000,136.83850606,271.71609497,0
24,3.86065722,15.55657125,0.00050000,106.53516579,311.73022461,0
25,2.90673584,13.61485529,0.00050000,68.05921523,103.59798431,0
26,2.62983921,11.04605293,0.00050000,56.50941531,78.88244629,1
27,2.71352216,14.59926748,0.00050000,64.20888805,114.79100800,0
28,2.75640649,11.03092074,0.00050000,66.95552270,130.97497559,1
29,2.23169843,13.18268800,0.00050000,38.91431395,67.68758392,0
30,2.21185142,11.79806209,0.00050000,49.96605237,102.06063843,0
31,2.41851010,12.20670128,0.00050000,59.77141539,99.64639282,0
32,2.05741922,11.40990591,0.00050000,52.80309105,75.03900909,0
33,1.67408561,12.20208502,0.00050000,22.28728994,43.23127365,0
34,1.94443643,11.68447471,0.00050000,42.55510680,75.17597961,0
35,1.51855163,10.96057510,0.00050000,29.84278774,46.43577957,1
36,1.81423205,13.08997679,0.00050000,63.53995196,141.43952942,0
37,1.79683121,10.10418797,0.00050000,65.99937042,149.80546570,1
38,1.56650690,10.63473368,0.00050000,46.03184032,80.76911163,0
39,1.42219599,11.24666095,0.00050000,36.51524878,58.06512070,0
40,1.51053443,9.65939140,0.00050000,37.29708131,64.76109314,1
41,1.34888632,12.43464494,0.00050000,47.36493238,87.11492920,0
42,2.33324215,11.54035282,0.00050000,102.29176760,221.13168335,0
43,1.66300778,9.86189127,0.00050000,49.72551060,78.16944885,0
44,2.65651734,11.53026295,0.00050000,107.70886548,258.28402710,0
45,1.58692106,10.26073527,0.00050000,58.27909152,88.62982178,0
46,1.29750719,11.54936695,0.00050000,36.01504103,55.74475098,0
47,1.50034241,10.41637158,0.00025000,45.48766295,87.27075958,0
48,1.06898556,9.77644444,0.00025000,23.24402936,50.33185959,0
49,1.02238832,9.92467880,0.00025000,26.61516396,48.76084137,0
50,1.19067935,9.75826502,0.00025000,39.96870788,69.38728333,0
51,1.09443240,9.48022985,0.00025000,34.00927273,53.07418442,1
52,1.39051536,9.32515812,0.00025000,61.09298166,188.75643921,1
53,1.08376171,8.98217845,0.00025000,38.43706195,69.51882935,1
54,1.08286041,11.31268024,0.00025000,40.12272263,75.18419647,0
55,1.42972463,9.70636082,0.00025000,57.06053384,103.08400726,0
