model,rmse,mae,bias,correlation,pred_variance,target_variance,variance_ratio,num_samples,history_length
persistence,3.2510168751080832,2.6105775038401284,1.4461346566677094,0.6404480083535409,8.072866002718607,3.996555765469869,2.0199558010594885,6,3
linear,2.9649211963017783,2.604944090048472,-0.4816623603304227,0.6404479875595882,4.530315001805623,3.996555765469869,1.1335548076039421,6,3
cnn,2.869001309076945,2.4738216002782187,-1.4924398760000865,0.7430985998643501,7.020548741022746,3.996555765469869,1.7566497636990561,6,3
convlstm,1.7645678520202637,1.4477692246437073,-0.26252904534339905,0.8068801654713967,4.505752156178157,3.996555765469869,1.1274088041277268,6,3
