epoch,step,train_mse,val_mse
0,9,0.5810699462890625,
0,19,0.6324340105056763,
0,29,0.413219153881073,
0,39,0.23864080011844635,
0,49,0.3574937582015991,
0,59,0.32892879843711853,
0,69,0.49894505739212036,
0,72,,0.3462400436401367
1,79,0.19143135845661163,
1,89,0.25225675106048584,
1,99,0.4927573800086975,
1,109,0.17696043848991394,
1,119,0.4117518961429596,
1,129,0.19828790426254272,
1,139,0.2782059609889984,
1,145,,0.2579667270183563
2,149,0.18854272365570068,
2,159,0.34750619530677795,
2,169,0.3546765446662903,
2,179,0.189326673746109,
2,189,0.3849807679653168,
2,199,0.29792720079421997,
2,209,0.359136700630188,
2,218,,0.3131118714809418
3,219,0.2503582239151001,
3,229,0.6339980363845825,
3,239,0.2871426045894623,
3,249,0.24357099831104279,
3,259,0.36629951000213623,
3,269,0.4118926525115967,
3,279,0.22485153377056122,
3,289,0.37227344512939453,
3,291,,0.2766406238079071
4,299,0.24731117486953735,
4,309,0.3282499611377716,
4,319,0.22058890759944916,
4,329,0.16638913750648499,
4,339,0.3732990324497223,
4,349,0.21810422837734222,
4,359,0.24864186346530914,
4,364,,0.29568466544151306
5,369,0.23765453696250916,
5,379,0.30024445056915283,
5,389,0.3523354232311249,
5,399,0.1739245057106018,
5,409,0.17479202151298523,
5,419,0.18217073380947113,
5,429,0.2561129331588745,
5,437,,0.3195077180862427
6,439,0.1690438985824585,
6,449,0.354498028755188,
6,459,0.26522719860076904,
6,469,0.27456045150756836,
6,479,0.24972085654735565,
6,489,0.3540138304233551,
6,499,0.22905971109867096,
6,509,0.13516582548618317,
6,510,,0.3151463568210602
7,519,0.18108078837394714,
7,529,0.131515771150589,
7,539,0.38499635457992554,
7,549,0.46051961183547974,
7,559,0.28328844904899597,
7,569,0.25995054841041565,
7,579,0.3103628158569336,
7,583,,0.3215979039669037
8,589,0.23282556235790253,
8,599,0.24069534242153168,
8,609,0.2792174518108368,
8,619,0.1652696132659912,
8,629,0.2253444790840149,
8,639,0.10262496024370193,
8,649,0.2920263707637787,
8,656,,0.44805940985679626
9,659,0.38663002848625183,
9,669,0.22596359252929688,
9,679,0.23760782182216644,
9,689,0.2767817974090576,
9,699,0.2151820808649063,
9,709,0.3094604015350342,
9,719,0.18718646466732025,
9,729,0.22273793816566467,
9,729,,0.3019525110721588
