epoch,step,train_mse,val_mse
0,9,0.5369760990142822,
0,19,0.24489745497703552,
0,29,0.4019123613834381,
0,39,0.38147997856140137,
0,49,0.27154114842414856,
0,59,0.49754273891448975,
0,69,0.25987881422042847,
0,71,,0.21017411351203918
1,79,0.33653056621551514,
1,89,0.44733357429504395,
1,99,0.3695002794265747,
1,109,0.22599487006664276,
1,119,0.18523858487606049,
1,129,0.3178294599056244,
1,139,0.17664913833141327,
1,143,,0.2065768986940384
2,149,0.1710573434829712,
2,159,0.29050585627555847,
2,169,0.1587112993001938,
2,179,0.20070351660251617,
2,189,0.26883789896965027,
2,199,0.40677520632743835,
2,209,0.20426160097122192,
2,215,,0.24083280563354492
3,219,0.33849719166755676,
3,229,0.3317044973373413,
3,239,0.2575972080230713,
3,249,0.5179158449172974,
3,259,0.14225247502326965,
3,269,0.35672467947006226,
3,279,0.3510619103908539,
3,287,,0.21184410154819489
4,289,0.28369030356407166,
4,299,0.28759440779685974,
4,309,0.31134283542633057,
4,319,0.2073972225189209,
4,329,0.3760976493358612,
4,339,0.18524757027626038,
4,349,0.2747576832771301,
4,359,0.3810151219367981,
4,359,,0.21303997933864594
5,369,0.30771535634994507,
5,379,0.3630908727645874,
5,389,0.14119315147399902,
5,399,0.35479316115379333,
5,409,0.16738179326057434,
5,419,0.18017439544200897,
5,429,0.2670450806617737,
5,431,,0.24111300706863403
6,439,0.27464473247528076,
6,449,0.13854148983955383,
6,459,0.25043871998786926,
6,469,0.24782903492450714,
6,479,0.17682810127735138,
6,489,0.4351959526538849,
6,499,0.3016510605812073,
6,503,,0.2061956226825714
7,509,0.16190271079540253,
7,519,0.16821427643299103,
7,529,0.27406612038612366,
7,539,0.21450446546077728,
7,549,0.2764334976673126,
7,559,0.14348262548446655,
7,569,0.2752510905265808,
7,575,,0.2008696049451828
8,579,0.144882470369339,
8,589,0.2556609809398651,
8,599,0.23828770220279694,
8,609,0.2617405951023102,
8,619,0.14333166182041168,
8,629,0.30393925309181213,
8,639,0.19216156005859375,
8,647,,0.26490896940231323
9,649,0.24965481460094452,
9,659,0.18048900365829468,
9,669,0.2191142588853836,
9,679,0.21029436588287354,
9,689,0.16453097760677338,
9,699,0.17265453934669495,
9,709,0.29544612765312195,
9,719,0.1543828397989273,
9,719,,0.27284783124923706
