epoch,step,train_mse,val_mse
0,9,0.6305157542228699,
0,19,0.5314624309539795,
0,29,0.35204017162323,
0,39,0.3908935785293579,
0,49,0.5505852699279785,
0,59,0.2458949238061905,
0,69,0.5080691576004028,
0,72,,0.2810373902320862
1,79,0.2750231623649597,
1,89,0.26566624641418457,
1,99,0.2792988717556,
1,109,0.4783131778240204,
1,119,0.36845991015434265,
1,129,0.29990294575691223,
1,139,0.29563698172569275,
1,145,,0.24098271131515503
2,149,0.21768763661384583,
2,159,0.2587151825428009,
2,169,0.13198457658290863,
2,179,0.2279549241065979,
2,189,0.21076592803001404,
2,199,0.359493613243103,
2,209,0.169779971241951,
2,218,,0.23530811071395874
3,219,0.2051001936197281,
3,229,0.17935985326766968,
3,239,0.11950217932462692,
3,249,0.17773988842964172,
3,259,0.21323557198047638,
3,269,0.19807559251785278,
3,279,0.2949655055999756,
3,289,0.20999076962471008,
3,291,,0.27423301339149475
4,299,0.22667139768600464,
4,309,0.20396000146865845,
4,319,0.27166563272476196,
4,329,0.125803604722023,
4,339,0.2605067491531372,
4,349,0.15039938688278198,
4,359,0.16674207150936127,
4,364,,0.1978701949119568
5,369,0.19312748312950134,
5,379,0.2750028669834137,
5,389,0.26525986194610596,
5,399,0.12332422286272049,
5,409,0.31043577194213867,
5,419,0.15349668264389038,
5,429,0.09728266298770905,
5,437,,0.1895565688610077
6,439,0.14697358012199402,
6,449,0.12760895490646362,
6,459,0.1729961335659027,
6,469,0.18504007160663605,
6,479,0.1898701786994934,
6,489,0.1880008578300476,
6,499,0.1329040825366974,
6,509,0.2249743938446045,
6,510,,0.24504391849040985
7,519,0.1719961166381836,
7,529,0.19226767122745514,
7,539,0.1082373559474945,
7,549,0.19528158009052277,
7,559,0.2150474190711975,
7,569,0.1981092095375061,
7,579,0.14381645619869232,
7,583,,0.21340076625347137
8,589,0.13371510803699493,
8,599,0.1985945701599121,
8,609,0.14799031615257263,
8,619,0.35513460636138916,
8,629,0.1905887871980667,
8,639,0.22841809689998627,
8,649,0.157844677567482,
8,656,,0.21310721337795258
9,659,0.188762828707695,
9,669,0.26346370577812195,
9,679,0.20006786286830902,
9,689,0.1430404633283615,
9,699,0.2968030571937561,
9,709,0.13180862367153168,
9,719,0.1439761370420456,
9,729,0.10248877108097076,
9,729,,0.24884574115276337
