epoch,step,train_mse,val_mse
0,9,0.25298160314559937,
0,19,0.05517500266432762,
0,29,0.0865686684846878,
0,39,0.03937683627009392,
0,49,0.025223873555660248,
0,59,0.034081555902957916,
0,69,0.02593727968633175,
0,73,,0.0277605801820755
1,79,0.018348831683397293,
1,89,0.020177993923425674,
1,99,0.03751261904835701,
1,109,0.025388389825820923,
1,119,0.03095182403922081,
1,129,0.01913280040025711,
1,139,0.021001746878027916,
1,147,,0.0198662132024765
2,149,0.013357453979551792,
2,159,0.016327425837516785,
2,169,0.019095847383141518,
2,179,0.021999571472406387,
2,189,0.019766157492995262,
2,199,0.016660913825035095,
2,209,0.006937658879905939,
2,219,0.00621923478320241,
2,221,,0.01158047653734684
3,229,0.01074268389493227,
3,239,0.010479358024895191,
3,249,0.011298546567559242,
3,259,0.014402484521269798,
3,269,0.008876515552401543,
3,279,0.010977005586028099,
3,289,0.009050478227436543,
3,295,,0.015273460187017918
4,299,0.015183190815150738,
4,309,0.010041262023150921,
4,319,0.009701657108962536,
4,329,0.011883467435836792,
4,339,0.022204650565981865,
4,349,0.03838472440838814,
4,359,0.02432938851416111,
4,369,0.006353319156914949,
4,369,,0.009364678524434566
5,379,0.017522765323519707,
5,389,0.00961709301918745,
5,399,0.011393417604267597,
5,409,0.008652297779917717,
5,419,0.006083664949983358,
5,429,0.017006250098347664,
5,439,0.007223890628665686,
5,443,,0.008092515170574188
6,449,0.007778808008879423,
6,459,0.011532172560691833,
6,469,0.01887401007115841,
6,479,0.011300228536128998,
6,489,0.018930088728666306,
6,499,0.0142076900228858,
6,509,0.009579583071172237,
6,517,,0.008802327327430248
7,519,0.006638232618570328,
7,529,0.013787301257252693,
7,539,0.011337523348629475,
7,549,0.009225506335496902,
7,559,0.014072304591536522,
7,569,0.01911887340247631,
7,579,0.007712026592344046,
7,589,0.009250081144273281,
7,591,,0.007379813585430384
8,599,0.009486984461545944,
8,609,0.011205844581127167,
8,619,0.006228575482964516,
8,629,0.0075709037482738495,
8,639,0.008396841585636139,
8,649,0.008021843619644642,
8,659,0.005971869453787804,
8,665,,0.006923134438693523
9,669,0.009801565669476986,
9,679,0.012286451645195484,
9,689,0.02252124436199665,
9,699,0.007835972122848034,
9,709,0.011213264428079128,
9,719,0.006475461646914482,
9,729,0.007929838262498379,
9,739,0.016155339777469635,
9,739,,0.00634824438020587
