model,history_length,input_set,epochs,learning_rate,weight_decay,l1_weight,best_val_loss,rmse,mae,bias,correlation
cnn,1,extended,20,0.0005,0.0,0.1,15.721330165863037,3.801202734311422,3.0222148100535073,-0.16367265582084656,0.4117762124778817
convlstm,1,extended,30,0.0008,1e-06,0.1,20.3166561126709,4.51958171526591,3.7977078755696616,0.16329693794250488,0.36393955223886226
cnn,3,extended,20,0.0005,0.0,0.1,11.159006118774414,3.215394973754883,2.6679527362187705,-1.659097321331501,0.6445746184010214
convlstm,3,extended,30,0.0008,1e-06,0.1,4.344580888748169,1.914518117904663,1.4789995948473613,0.11615833143393199,0.7411127887860847
cnn,6,extended,20,0.0005,0.0,0.1,10.00547981262207,3.101512408256531,2.7246170043945312,-1.1674224615097046,0.635440581248808
convlstm,6,extended,30,0.0008,1e-06,0.1,4.4939985275268555,1.9744062900543213,1.5800907373428346,0.42586628198623655,0.8299353730234784
